ex,rs,re
7,1490,1536
7,2163,2293
11,165,243
11,1291,1367
13,454,531
13,1524,1587
15,714,764
15,1252,1314
17,486,544
19,2,63
19,667,725
19,726,762
19,1644,1709
23,244,323
23,324,356
25,1468,1540
25,1541,1599
27,290,365
27,1081,1138
27,1139,1204
27,1205,1251
31,937,990
31,991,1064
33,505,562
33,563,604
33,605,624
35,588,616
35,618,641
37,659,703
37,704,731
37,1588,1616
37,1617,1631
37,1632,1650
37,1651,1664
39,636,664
39,665,685
39,686,696
39,698,714
39,1150,1180
39,1181,1203
41,703,733
41,734,751
41,1117,1129
41,1130,1141
41,1142,1149
41,1151,1157
43,559,577
43,579,599
43,600,604
43,924,940
43,942,951
43,952,963
43,964,972
45,383,399
45,403,421
47,550,577
47,578,599
47,600,622
49,553,664
49,665,702
49,703,706
51,1312,1352
51,1353,1378
51,1380,1395
51,1778,1793
51,1795,1805
55,793,806
55,817,838
55,839,853
55,1579,1602
55,1603,1621
55,1626,1653
55,1656,1677
61,668,709
61,710,739
63,618,631
63,632,645
63,646,655
63,656,667
63,669,679
65,626,639
65,640,661
65,662,674
65,675,687
67,698,709
67,710,720
67,721,742
69,823,850
69,854,887
69,1311,1360
69,1361,1386
69,1387,1397
71,2249,2292
