ex,rs,re
43,1013,1026
43,1028,1034
53,1,22
53,23,33
53,34,41
53,45,61
53,62,68
53,69,81
53,82,97
53,98,110
53,113,127
53,128,141
53,142,161
53,162,169
53,170,187
53,190,198
53,199,206
53,208,212
53,213,220
53,221,235
53,241,272
67,98,115
67,117,148
67,149,167
67,168,190
67,191,224
67,225,251
67,252,272
67,273,299
67,300,321
67,322,340
67,341,371
67,372,391
67,394,408
67,409,419
67,420,431
67,432,441
67,456,483
67,484,488
67,493,507
67,508,571
67,572,591
67,592,602
67,603,663
67,664,678
67,679,686
67,688,696
69,12,122
69,124,189
69,191,234
69,236,274
69,275,305
69,308,333
69,334,356
69,358,385
69,387,405
69,407,424
69,425,440
69,442,466
69,467,494
69,496,507
69,509,531
69,532,541
69,542,554
69,556,599
69,600,621
69,623,636
69,637,649
69,652,683
69,684,697
69,698,710
69,711,733
69,734,756
69,757,790
69,791,819
69,892,909
69,913,933
69,934,964
69,965,980
69,981,988
69,989,1004
69,1005,1020
69,1022,1039
69,1040,1083
69,1085,1109
69,1116,1122
69,1125,1130
69,1131,1156
69,1157,1191
69,1193,1211
69,1212,1221
69,1222,1283
69,1289,1309
71,27,49
71,50,68
71,69,94
71,95,113
71,114,137
71,138,171
71,172,204
71,205,221
71,2001,2028
71,2029,2041
71,2042,2050
71,2051,2065
71,2076,2083
71,2086,2099
71,2100,2113
71,2114,2126
71,2127,2143
71,2144,2161
71,2162,2194
71,2195,2207
71,2211,2232
71,2233,2244
