ex,rs,re
37,1375,1424
37,1426,1447
37,1448,1471
37,1474,1499
37,1500,1517
37,1518,1531
37,1533,1559
37,1560,1583
37,1665,1689
37,1690,1720
37,1723,1737
37,1738,1753
37,1754,1782
37,1783,1811
37,1812,1831
37,1832,1849
37,1852,1878
37,1880,1913
39,7,44
39,45,141
39,143,181
39,182,209
39,210,250
39,251,279
39,280,321
39,325,358
39,360,391
39,392,478
39,479,501
39,502,538
39,539,566
39,569,585
39,586,610
39,611,634
39,718,733
39,735,766
39,767,794
39,795,815
39,822,864
39,865,878
39,879,902
39,903,933
39,934,954
39,955,966
39,968,981
39,982,1016
39,1018,1030
39,1031,1051
39,1052,1075
39,1076,1090
39,1091,1106
39,1109,1123
39,1124,1144
39,1204,1251
39,1252,1281
39,1283,1314
39,1315,1357
41,4,32
41,33,62
41,64,95
41,96,125
41,129,154
41,155,168
41,169,208
41,209,230
41,232,265
41,266,291
41,292,309
41,310,325
41,326,349
41,352,371
41,372,396
41,397,440
41,441,457
41,458,489
41,490,521
41,522,556
41,557,588
41,589,600
41,601,622
41,623,632
41,633,648
41,650,665
41,666,687
41,689,697
41,753,796
41,799,834
41,836,862
41,864,889
41,892,911
41,912,927
41,928,958
41,959,972
41,973,986
41,987,997
41,998,1009
41,1010,1020
41,1021,1032
41,1034,1049
41,1051,1065
41,1067,1076
41,1080,1091
41,1092,1106
41,1158,1171
41,1173,1186
41,1188,1199
41,1202,1214
41,1215,1223
41,1224,1232
41,1233,1248
41,1249,1255
41,1256,1261
43,3,15
43,16,27
43,28,88
43,89,105
43,106,121
43,124,134
43,135,161
43,162,177
43,178,196
43,197,209
43,210,223
43,224,238
43,239,252
43,253,280
43,281,301
43,302,328
43,329,360
43,361,371
43,372,392
43,395,415
43,416,424
43,426,445
43,446,451
43,452,470
43,471,481
43,482,495
43,496,504
43,505,513
43,514,527
43,528,557
43,605,612
43,613,638
43,641,650
43,652,667
43,668,677
43,678,695
43,696,705
43,706,722
43,724,746
43,747,766
43,767,781
43,782,798
43,800,814
43,815,831
43,833,845
43,846,862
43,864,880
43,881,892
43,893,914
43,1102,1121
43,1122,1134
43,1136,1149
45,32,115
45,116,167
45,168,183
45,184,215
45,216,299
45,301,317
45,318,324
45,336,350
45,351,360
45,362,372
45,427,438
45,439,450
47,5,41
47,42,74
47,75,108
47,111,171
47,174,189
47,191,217
47,218,233
47,234,258
47,259,264
47,265,279
47,284,292
47,293,304
47,305,351
47,353,377
47,378,390
47,391,400
47,402,406
47,407,421
47,422,448
47,451,485
47,486,494
47,495,516
47,517,521
47,522,536
47,623,630
47,631,642
47,643,657
47,658,690
47,691,720
47,721,749
47,751,773
47,774,811
47,812,857
47,858,881
49,13,44
49,47,73
49,74,101
49,102,122
49,123,144
49,145,157
49,158,176
49,178,213
49,214,241
49,242,319
49,321,349
49,350,376
49,378,415
49,416,456
49,458,494
49,495,510
49,512,541
49,707,747
49,748,776
49,777,789
49,790,820
49,821,825
49,826,844
49,846,915
49,916,922
51,5,56
51,59,111
51,112,155
51,156,206
51,207,235
51,237,267
51,268,307
51,310,368
51,371,461
51,462,515
51,516,555
51,558,606
51,610,654
51,658,694
51,696,798
51,800,924
51,925,1024
51,1025,1081
51,1086,1112
51,1115,1138
51,1142,1183
51,1184,1203
51,1204,1231
51,1232,1270
51,1271,1310
51,1399,1441
51,1442,1469
51,1471,1500
51,1501,1547
51,1548,1566
51,1567,1579
51,1580,1692
51,1693,1709
51,1710,1724
51,1725,1756
51,1758,1766
51,1767,1777
55,3,40
55,41,66
55,68,123
55,124,137
55,138,154
55,155,168
55,170,189
55,191,206
55,207,227
55,228,261
55,262,313
55,315,346
55,347,371
55,372,421
55,422,464
55,466,491
55,492,508
55,509,525
55,527,564
55,565,584
55,585,599
55,600,612
55,618,642
55,644,656
55,657,669
55,670,682
55,684,695
55,697,720
55,721,752
55,754,784
55,855,869
55,870,881
55,882,900
55,901,912
55,913,935
55,936,955
55,956,968
55,969,976
55,977,988
55,990,1093
55,1096,1136
55,1137,1155
55,1156,1167
55,1169,1184
55,1185,1190
55,1191,1209
55,1211,1222
55,1223,1239
55,1241,1285
55,1286,1298
55,1299,1311
55,1312,1334
55,1335,1345
55,1346,1355
55,1356,1372
55,1373,1416
55,1417,1431
55,1432,1468
55,1470,1489
55,1490,1512
55,1513,1522
55,1523,1530
55,1533,1578
55,1679,1708
55,1709,1726
55,1727,1742
55,1745,1749
61,24,128
61,129,195
61,196,224
61,226,253
61,255,355
61,356,391
61,392,418
61,426,448
61,449,480
61,482,505
61,506,528
61,529,534
61,535,552
61,554,574
61,575,606
61,607,633
61,634,664
61,740,772
61,773,807
61,808,831
61,832,869
61,871,898
61,900,952
61,953,985
61,986,1027
61,1029,1053
61,1054,1071
61,1072,1089
61,1091,1129
61,1130,1147
61,1148,1162
61,1164,1183
61,1184,1207
63,55,75
63,76,104
63,105,174
63,175,189
63,190,220
63,221,235
63,236,264
63,265,296
63,300,314
63,315,322
63,323,344
63,345,352
63,354,372
63,375,386
63,387,414
63,415,438
63,439,456
63,457,482
63,483,505
63,506,520
63,521,557
63,558,577
63,578,591
63,592,609
63,610,614
63,683,712
63,713,723
63,724,745
63,746,753
63,754,770
63,771,783
65,20,79
65,80,89
65,91,106
65,107,119
65,120,152
65,153,250
65,251,274
65,275,294
65,295,305
65,306,317
65,318,331
65,332,343
65,344,351
65,354,365
65,366,423
65,424,432
65,434,446
65,447,458
65,468,480
65,481,496
65,497,506
65,507,518
65,523,530
65,531,541
65,542,556
65,557,572
65,573,586
65,587,600
65,601,613
65,691,723
65,725,739
65,740,773
65,774,789
65,790,801
