ex,rs,re
7,6,872
7,873,1246
7,1248,1486
7,1538,1920
7,1921,2156
7,2294,2865
9,17,458
9,459,686
9,687,972
9,973,1220
11,1,161
11,261,422
11,423,575
11,576,760
11,761,889
11,890,1017
11,1018,1127
11,1128,1287
13,4,178
13,179,354
13,355,440
13,551,696
13,697,841
13,842,959
13,960,1107
13,1109,1208
13,1209,1334
13,1335,1444
13,1445,1523
13,1589,1627
15,56,307
15,308,428
15,429,536
15,537,623
15,624,710
15,765,840
15,841,925
15,926,1005
15,1008,1096
15,1098,1181
15,1183,1248
15,1315,1387
15,1388,1437
17,2,103
17,169,258
17,259,345
17,347,408
17,409,485
17,545,606
17,607,668
17,669,742
17,743,806
17,807,864
17,865,937
19,64,115
19,117,168
19,169,226
19,227,287
19,288,352
19,353,411
19,412,464
19,465,512
19,513,561
19,562,626
19,627,666
19,763,821
19,822,879
19,880,952
19,953,1008
19,1009,1058
19,1059,1124
19,1125,1205
19,1206,1274
19,1276,1331
19,1332,1406
19,1407,1476
19,1477,1531
19,1532,1596
19,1597,1643
21,2,96
21,97,163
21,164,229
21,230,324
23,2,81
23,82,147
23,148,238
23,357,440
23,446,523
23,524,607
25,1,165
25,166,261
25,262,350
25,351,463
25,464,568
25,569,667
25,668,743
25,744,825
25,826,905
25,906,971
25,972,1044
25,1045,1120
25,1121,1188
25,1189,1261
25,1262,1338
25,1340,1413
25,1414,1462
25,1601,1658
25,1659,1714
25,1715,1794
25,1796,1860
25,1861,1917
25,1918,1974
25,1975,2029
25,2030,2089
25,2090,2122
27,3,73
27,74,136
27,137,199
27,200,288
27,367,430
27,431,489
27,490,540
27,541,589
27,590,637
27,638,685
27,686,732
27,733,772
27,773,821
27,822,879
27,880,935
27,936,978
27,979,1028
27,1029,1079
27,1252,1313
27,1314,1360
27,1361,1411
27,1413,1468
27,1469,1516
27,1517,1575
27,1577,1632
31,138,383
31,385,493
31,495,589
31,590,680
31,681,748
31,750,818
31,820,874
31,876,936
31,1071,1213
31,1214,1300
31,1301,1362
31,1363,1420
31,1421,1463
31,1464,1522
31,1523,1562
31,1563,1623
31,1625,1715
33,1,52
33,53,118
33,119,215
33,222,294
33,295,349
33,350,382
33,383,412
33,413,444
33,445,495
33,625,651
33,652,683
33,684,719
33,720,755
33,756,784
33,785,808
33,809,838
33,839,870
35,1,35
35,36,80
35,81,115
35,117,176
35,177,208
35,209,255
35,256,284
35,285,323
35,324,351
35,352,394
35,395,433
35,434,483
35,484,510
35,512,543
35,544,584
35,650,687
37,1,24
37,25,58
37,59,89
37,90,132
37,133,219
37,220,269
37,270,334
37,335,397
37,399,420
37,421,446
37,447,475
37,476,507
37,510,529
37,531,570
37,571,587
37,589,620
37,621,642
37,644,654
37,735,765
37,766,790
37,791,810
37,812,846
37,848,865
37,866,903
37,904,926
37,927,959
37,960,987
37,989,1006
37,1007,1027
37,1029,1044
37,1045,1086
37,1087,1131
37,1132,1156
37,1159,1192
37,1193,1215
37,1216,1239
37,1240,1265
37,1266,1280
37,1281,1319
37,1320,1343
37,1345,1374
