SWC,DAY,DOY,TA,SW,TS,LE,GPP,RECO,P0
6.5,751,21,-17.333,199.542,-7.92,9.70488,0.523357,0.298931,0.2
6.9,792,62,-17.289,296.358,-5.574,26.5106,0.563059,0.577802,0.2
32.6,856,126,-4.637,449.564,2.489,104.273,1.91207,1.85805,0.2
29.7,881,151,2.787,478.997,7.413,71.547,2.90571,2.66981,0.2
25.6,935,205,5.739,468.656,13.396,112.425,10.5873,5.87129,0.2
31.4,943,213,6.35,458.778,14.135,112.391,8.60029,10.1468,0.2
28.1,952,222,10.603,445.291,16.486,116.294,7.91496,12.3673,0.2
28.1,970,240,5.5,411.342,12.174,53.1963,7.36198,5.385,0.2
27.9,1030,300,-6.362,258.43,0.381,10.7875,0.359291,1.07255,0.2
7.9,1076,346,-15.391,178.657,-4.978,9.33721,0.279305,0.392341,0.2
7.4,52,52,-8.498,271.59,-2.794,5.29002,0.561068,0.23995,0.3
7.4,56,56,-9.221,282.491,-3.294,12.4419,0.384764,0.290152,0.3
24.4,149,149,5.64,478.233,9.293,61.7614,1.84594,1.83726,0.3
22.5,157,157,2.542,483.377,8.378,81.167,3.65031,1.93923,0.3
25.3,202,202,2.07,470.806,9.034,83.6181,6.70182,4.15063,0.3
29,276,276,0.185,319.654,6.321,39.1004,1.94038,2.25443,0.3
24,313,313,-7.952,225.346,-0.089,15.5769,0.339939,0.476925,0.3
6.8,380,15,-17.39,192.034,-6.223,8.58864,0.357234,0.267773,0.3
6.9,420,55,-19.283,279.746,-6.649,13.05,0.304203,0.31817,0.3
28,486,121,2.177,442.919,6.561,85.6909,1.18917,1.23502,0.3
20.1,540,175,3.295,486.744,10.06,76.5119,5.13277,2.58857,0.3
28,595,230,1.949,429.422,10.176,76.5512,7.04519,5.50283,0.3
29.2,617,252,-0.702,381.787,8.903,91.3539,5.37476,2.89166,0.3
26.4,668,303,-2.656,248.462,1.65,28.2748,0.537189,0.749799,0.3
22,684,319,-14.293,213.049,-1.572,14.7583,0.450406,0.574152,0.3
7.7,723,358,-14.567,175.291,-3.365,13.525,0.4907,0.234982,0.3
7.5,727,362,-19.463,176.258,-4.258,7.43686,0.427056,0.176304,0.3
15.9,813,83,-7.262,354.639,-0.35,31.3508,0.442842,0.863595,0.3
35.3,830,100,-7.893,397.759,0.642,38.0666,0.594039,0.72944,0.3
30.6,879,149,3.396,477.432,7.211,71.4084,2.94651,2.08809,0.3
27.8,926,196,5.951,477.298,13.723,140.27,8.90352,4.77179,0.3
24.1,930,200,10.595,473.787,16.279,125.553,9.29569,6.88221,0.3
28.7,969,239,3.318,413.454,11.787,79.038,6.91938,5.38637,0.3
27.7,971,241,4.526,409.206,11.653,90.5438,7.13794,5.28306,0.3
31,990,260,1.992,364.461,9.35,69.3639,3.81371,7.76175,0.3
6.3,30,30,-16.163,218.119,-8.637,4.00073,0.288524,0.158248,0.4
25.4,254,254,1.595,376.925,9.219,61.9043,4.62336,4.39558,0.4
29.4,264,264,-1.051,351.608,7.441,57.7757,3.03369,3.51135,0.4
6.6,385,20,-19.368,199.542,-7.246,9.57761,0.468618,0.247187,0.4
7.2,416,51,-9.57,268.902,-3.762,17.1249,0.384903,0.70156,0.4
26.1,495,130,-0.757,457.139,5.269,52.5696,0.975994,1.72809,0.4
26.6,608,243,3.587,402.652,11.539,83.4803,7.14133,5.26269,0.4
26,649,284,-6.015,297.992,3.392,25.5735,0.884089,1.10674,0.4
6.5,756,26,-13.644,208.271,-7.085,12.4791,0.596301,0.351262,0.4
6.6,783,53,-19.728,271.59,-6.795,16.6071,0.522992,0.276511,0.4
33.4,854,124,-1.016,446.306,4.56,34.8122,1.09178,2.88058,0.4
32.2,874,144,-1.2,472.91,3.244,44.6717,1.73935,1.45196,0.4
29,951,221,10.334,446.91,15.832,133.38,9.24993,12.7008,0.4
28.4,979,249,1.242,391.272,9.782,54.3005,4.89838,4.38444,0.4
25.7,182,182,6.511,484.998,11.059,86.0825,5.16182,3.06007,0.5
27.2,238,238,4.224,413.454,12.054,134.271,6.88011,4.28086,0.5
25.8,292,292,-6.921,276.572,3.936,34.2663,0.667453,1.25706,0.5
23.9,312,312,-6.206,227.521,-0.091,12.7995,0.267622,0.5105,0.5
9.6,447,82,-6.284,354.639,-0.436,34.6995,0.743685,0.886011,0.5
31.8,478,113,0.645,428.123,3.324,34.0457,0.752936,1.24217,0.5
24.2,513,148,-0.553,477.432,5.864,71.1415,2.63068,2.30425,0.5
24.3,531,166,2.587,486.481,8.163,88.2497,3.89163,2.21725,0.5
19.4,544,179,9.326,485.955,12.98,77.5245,5.77033,4.41859,0.5
19,562,197,2.184,475.609,9.9,95.3827,8.26815,3.82794,0.5
27,599,234,2.446,421.647,11.104,102.05,7.67165,4.57664,0.5
6.7,780,50,-22.293,263.577,-5.76,15.6144,0.432557,0.196205,0.5
35,831,101,-6.187,400.101,0.085,19.9888,0.442249,0.608313,0.5
31.3,877,147,0.829,475.727,5.894,73.5867,2.13369,1.06034,0.5
29.7,914,184,5.147,484.611,10.408,100.347,8.26082,4.70029,0.5
28.1,977,247,3.618,395.892,10.029,32.8346,4.32023,6.73494,0.5
6.7,40,40,-12.348,240.699,-5.606,16.6924,0.142975,0.207374,0.6
23.6,95,95,-1.921,388.152,2.22,43.8814,0.0521738,1.1525,0.6
23.5,124,124,0.777,447.951,5.448,30.9248,0.534985,0.95075,0.6
24.2,128,128,-1.943,454.207,2.725,31.169,0.937636,0.897806,0.6
25.8,160,160,3.162,484.727,8.505,70.8972,4.07994,2.14417,0.6
30,212,212,5.843,458.778,11.053,65.2829,7.30575,6.94381,0.6
30.6,244,244,1.812,400.422,9.064,94.4082,5.67974,3.8983,0.6
27.1,251,251,-0.807,384.188,7.887,75.6118,4.56534,2.54756,0.6
6.8,368,3,-21.951,179.469,-7.941,6.4127,0.435526,0.233078,0.6
27.7,500,135,-2.11,463.884,3.56,48.1115,1.70304,1.5271,0.6
27.7,626,261,2.919,359.362,8.334,68.0873,3.59074,2.6587,0.6
27.9,639,274,-1.318,325.052,5.185,36.8845,1.19423,2.09497,0.6
37.6,838,108,-3.467,415.77,2.104,53.3139,0.908067,1.21684,0.6
30.3,860,130,2.167,455.69,5.073,57.1663,1.46549,2.03419,0.6
32.1,1007,277,0.477,319.654,5.809,35.8921,1.75629,1.5556,0.6
28.8,1014,284,-4.086,300.697,3.806,18.9912,1.24547,1.56661,0.6
8.9,78,78,-8.443,343.776,-0.738,43.3323,0.0819223,0.525277,0.7
23.9,166,166,1.696,486.481,11.216,118.048,4.3161,2.96613,0.7
25.4,184,184,5.444,484.189,10.294,107.068,5.34229,6.04387,0.7
24.6,204,204,1.66,468.656,9.89,90.3859,6.50932,5.46771,0.7
7.6,352,352,-18.491,175.614,-5.032,9.83204,0.304928,0.502374,0.7
12,452,87,-5.291,367.895,-0.222,35.076,0.361402,1.15559,0.7
13,692,327,-11.238,198.931,-1.694,14.3471,0.333556,0.651301,0.7
6.6,782,52,-23.048,268.902,-6.82,14.421,0.490877,0.222836,0.7
12.1,807,77,-9.292,338.276,-0.835,26.4523,0.71715,0.438916,0.7
27.3,900,170,1.926,486.883,8.466,96.6859,6.18844,5.39294,0.7
28.6,978,248,3.83,393.593,10.302,62.0988,5.33812,6.54029,0.7
9.3,81,81,-11.159,351.942,-2.077,38.3822,-0.0468578,0.280432,0.8
25.3,147,147,1.042,476.598,7.186,114.632,1.07018,1.67745,0.8
28.4,225,225,6.171,438.523,12.618,109.375,7.03394,5.00855,0.8
27.4,270,270,3.92,335.779,8.685,30.4201,1.92391,3.03236,0.8
6.4,394,29,-18.668,216.066,-8.303,10.6268,0.344577,0.273966,0.8
23.1,519,154,1.766,481.71,8.129,61.1058,2.77059,2.46831,0.8
19.4,543,178,4.305,486.204,11.799,66.9328,5.75195,3.95123,0.8
26.7,571,206,10.32,466.378,14.013,72.4685,7.2692,5.28017,0.8
14,811,81,-4.89,349.232,-0.409,44.4713,0.381036,0.846145,0.8
15.3,812,82,-6.024,351.942,-0.436,28.9265,0.430628,0.798073,0.8
32.2,907,177,2.753,486.599,9.935,147.098,7.35434,3.63765,0.8
26.5,136,136,-2.933,465.131,3.853,80.3933,1.27531,1.0192,0.9
25.2,192,192,5.256,479.583,9.538,59.455,4.89049,3.82517,0.9
25.3,199,199,6.378,473.787,11.438,57.3669,6.05729,5.22644,0.9
23.7,206,206,9.06,466.378,13.972,121.384,7.19972,7.8599,0.9
29.1,273,273,0.067,327.744,5.437,15.2252,1.32122,2.42355,0.9
10.7,450,85,-6.204,362.64,-0.274,39.304,0.540892,1.08059,0.9
29.7,616,251,3.475,384.188,9.56,45.7228,3.76879,3.43417,0.9
7.7,722,357,-12.474,175.197,-3.222,6.5094,0.248046,0.248223,0.9
36.1,837,107,-4.766,413.612,1.203,31.9614,0.748212,1.1559,0.9
29.1,912,182,7.162,485.351,12.105,56.5275,6.06154,5.20122,0.9
26.2,97,97,-4.145,393.003,1.46,54.025,0.302454,0.806861,1
28.4,248,248,0.768,391.272,8.268,44.0559,4.18814,3.07248,1
6.7,771,41,-13.163,240.699,-5.284,15.3233,0.56939,2.79163,1
20,821,91,-5.969,375.641,0.566,40.2248,0.348004,0.815272,1
19.6,822,92,-5.298,378.184,0.199,26.6389,0.531984,0.986709,1
27.1,892,162,3.461,485.107,9.377,67.1661,4.47253,2.83106,1
30.7,1009,279,-2.282,314.243,5.028,32.1249,1.23509,2.15369,1
26.8,180,180,2.354,485.67,10.129,100.337,5.44837,3.66649,1.1
6.9,777,47,-15.001,255.736,-4.207,13.0073,0.645571,0.263821,1.1
31.1,869,139,-0.144,467.524,3.747,34.5144,1.373,1.99889,1.1
29.4,915,185,8.041,484.189,12.61,85.2437,5.99645,4.89383,1.1
30.5,944,214,8.822,457.401,14.511,70.6392,7.78761,10.0484,1.1
23.2,108,108,-3.985,417.9,2.501,57.3183,0.402765,0.963529,1.2
22.5,156,156,2.482,482.856,8.152,51.7061,3.1554,1.63711,1.2
24.9,298,298,-7.153,260.972,2.261,30.2148,0.791163,1.12138,1.2
7.5,726,361,-15.066,175.928,-4.128,7.12838,0.436581,0.213255,1.2
6.7,781,51,-23.638,266.23,-6.198,11.9568,0.447977,0.199671,1.2
7.1,788,58,-10.393,285.246,-3.246,21.2843,0.438394,0.682599,1.2
27.2,953,223,9.877,443.643,14.947,46.2869,6.52358,10.7962,1.2
28.2,1025,295,-3.813,271.314,2.526,18.2216,0.706727,1.3653,1.2
23.9,1053,323,-12.337,207.43,-0.956,12.7216,0.275736,0.474792,1.2
7.3,67,67,-15.861,313.171,-4.671,31.1992,0.426081,0.281409,1.3
25.9,197,197,2.798,475.609,10.202,90.1089,6.60692,4.46179,1.3
8,436,71,-6.608,324.379,-1.444,20.0276,0.538685,0.383166,1.3
8.6,442,77,-4.582,341.031,-0.835,14.8155,0.461396,0.55684,1.3
28.3,620,255,-4.026,374.466,5.874,72.6804,4.48945,0.669937,1.3
33.7,832,102,-9.673,402.417,-0.146,22.6061,0.339677,0.774913,1.3
29,214,214,5.199,455.994,12.316,99.7424,7.85428,6.75697,1.4
28.3,485,120,0.78,441.178,5.237,40.6127,1.12331,1.20009,1.4
22.9,520,155,0.896,482.3,5.678,45.7059,2.389,1.90162,1.4
20.2,539,174,5.649,486.854,11.168,70.3575,5.01295,2.60169,1.4
28.6,605,240,3.061,409.206,11.935,112.576,7.68774,4.88264,1.4
26.1,648,283,-1.749,300.697,2.877,16.248,0.495524,1.07408,1.4
26.5,660,295,-3.738,268.705,2.597,21.8128,0.630877,0.885385,1.4
7,739,9,-17.295,183.733,-5.336,10.4435,0.346886,0.293,1.4
30.7,871,141,-1.567,469.782,4.756,42.476,1.53847,2.17381,1.4
30.8,878,148,0.884,476.598,5.685,51.0072,2.03278,1.44334,1.4
31.4,920,190,8.137,481.565,12.28,69.9579,6.28903,6.28031,1.4
24.9,936,206,6.04,467.534,14.384,153.088,9.79031,7.45029,1.4
30.7,1001,271,5.186,335.779,8.864,23.6373,1.35599,1.72981,1.4
25.2,186,186,0.003,483.241,10.074,123.612,6.01861,5.35546,1.5
25.5,194,194,5.036,478.094,11.005,107.967,6.97856,6.33061,1.5
31,222,222,3.44,443.643,10.635,62.343,6.87563,4.5008,1.5
26.6,644,279,-2.761,311.533,3.931,32.8475,1.10775,1.74745,1.5
27.3,903,173,5.302,486.971,11.242,107.026,6.75286,4.07522,1.5
28.1,976,246,5.285,398.168,11.971,80.7078,6.31052,6.54618,1.5
28.3,1016,286,-1.243,295.291,4.086,17.5814,0.866643,1.46437,1.5
11.2,89,89,-1.906,373.077,0.838,32.316,0.313472,0.694006,1.6
21.6,103,103,-12.119,406.975,-0.269,49.2941,0.182741,0.432686,1.6
27.6,228,228,2.655,433.145,11.913,107.153,6.91231,3.40704,1.6
26.6,285,285,-2.619,295.291,2.979,15.8821,1.04298,1.54076,1.6
26.8,286,286,-1.844,292.595,4.269,42.7237,1.11126,2.15656,1.6
34,852,122,-1.501,442.919,3.844,43.5406,1.42298,2.38223,1.6
24.1,205,205,3.411,467.534,11.702,125.868,7.10546,6.55248,1.7
23,521,156,-0.482,482.856,6.261,80.1462,3.95142,1.67258,1.7
31.1,870,140,0.172,468.671,5.088,77.4727,1.55652,2.43277,1.7
30.9,1000,270,3.499,338.443,9.601,46.2746,2.40095,2.17396,1.7
20.5,94,94,-2.399,385.692,1.877,46.4476,0.244115,1.11408,1.8
29.6,635,270,2.483,335.779,7.878,54.0961,2.29533,2.31667,1.8
31,918,188,9.516,482.717,13.88,88.6129,7.34577,7.40596,1.8
26.5,973,243,7.169,404.86,12.878,54.0567,6.49969,5.63211,1.8
27.7,1032,302,-6.598,253.403,0.437,23.8392,0.488355,0.978006,1.8
7.7,70,70,-13.75,321.582,-2.671,47.0978,0.395321,0.419711,1.9
26.6,135,135,-0.394,463.884,3.626,66.5573,1.33198,1.08747,1.9
24.2,190,190,1.694,480.938,10.079,94.0526,5.63335,3.5135,1.9
9.5,446,81,-11.437,351.942,-0.409,21.6248,0.672267,0.515196,1.9
24,515,150,1.554,478.997,6.068,35.7481,2.19802,1.89629,1.9
25.9,572,207,9.78,465.19,13.061,68.4172,5.70986,5.43362,1.9
30.2,634,269,0.378,338.443,6.25,49.6648,1.68749,2.10112,1.9
30.6,962,232,6.223,427.518,12.377,53.4206,6.51879,3.98996,1.9
24.2,117,117,-0.517,435.767,4.298,53.3698,0.101088,0.869276,2
26.5,134,134,-1.494,462.602,2.023,36.8457,1.2999,0.883069,2
27.5,250,250,-0.378,386.57,7.888,69.1025,4.3143,2.29135,2
23.7,311,311,-4.993,229.729,-0.103,17.512,0.45161,0.635983,2
27,492,127,-1.852,452.692,2.872,22.2245,0.927506,1.25184,2
26.9,662,297,-5.41,263.532,2.788,28.0364,0.570647,0.875177,2
27.4,893,163,0.162,485.452,8.391,74.8369,4.39988,3.14418,2
9.3,80,80,-8.552,349.232,-1.122,21.8303,0.0970311,0.282572,2.1
26.2,178,178,0.888,486.204,9.789,122.478,5.7034,2.81209,2.1
28.9,224,224,5.827,440.258,11.087,90.8678,7.09315,4.80448,2.1
27.8,597,232,4.629,425.587,10.195,61.3486,6.83162,5.47821,2.1
11.3,816,86,-4.847,362.64,0.224,37.0146,0.504214,0.635674,2.1
31.7,965,235,4.27,421.647,10.617,123.008,7.51014,5.08633,2.1
29.8,996,266,0.976,348.996,8.583,64.0486,3.16382,2.72503,2.1
26.3,974,244,5.688,402.652,13.062,112.766,6.23973,5.90826,2.2
24.3,1050,320,-8.173,213.049,-0.399,17.591,0.372006,0.577379,2.2
25.3,193,193,2.339,478.855,7.956,37.374,4.7398,4.10707,2.3
28.6,866,136,1.589,463.884,6.706,74.6296,1.53961,2.07601,2.3
27.3,902,172,3.925,486.977,8.931,51.6964,4.96321,3.98176,2.3
27.7,1031,301,-6.116,255.906,0.337,18.1344,0.76816,1.00242,2.3
25.7,183,183,2.393,484.611,10.564,80.7196,4.65495,3.41964,2.4
24.6,232,232,8.158,425.587,13.235,85.38,7.10566,6.28853,2.4
25.7,496,131,0.15,458.555,4.875,31.6885,0.95788,1.55776,2.4
27.9,947,217,4.413,453.087,12.46,81.3235,8.62474,6.64501,2.4
25.4,146,146,0.642,475.727,6.594,77.3891,1.63312,1.67868,2.5
23,682,317,-11.138,216.998,-1.26,12.9798,0.518773,0.670765,2.5
31,868,138,-1.843,466.345,3.114,22.692,1.26851,1.60702,2.5
29.8,967,237,2.321,417.602,11.513,94.7502,6.85651,6.01339,2.5
26.4,218,218,9.926,450.059,15.852,103.518,8.19043,8.68456,2.6
28.7,277,277,-0.854,316.95,5.95,41.5164,1.99627,2.04419,2.6
30,615,250,5.053,386.57,10.611,74.9917,5.86966,4.07132,2.6
26.9,897,167,5.058,486.481,9.202,45.8889,4.18565,3.69781,2.6
26.3,177,177,1.538,486.419,9.866,88.9414,5.37475,1.83785,2.7
26.4,240,240,7.3,409.206,12.325,48.6281,4.38318,4.07594,2.7
26.4,284,284,-2.409,297.992,3.832,12.584,0.823843,1.3237,2.7
7.3,425,60,-10.842,293.569,-3.762,17.177,0.421616,0.555051,2.7
27.7,627,262,2.881,356.791,8.518,44.981,3.07052,2.52085,2.7
27,895,165,2.084,486.036,9.261,67.6658,4.55938,3.28624,2.7
31.4,876,146,-1.006,474.822,4.914,47.8793,1.92362,0.85631,2.8
25.7,196,196,6.503,476.471,10.66,53.862,5.18139,5.10517,2.9
26.7,239,239,4.227,411.342,12.171,73.0595,6.08369,3.87775,2.9
29.1,274,274,0.235,325.052,5.481,32.6994,1.80186,2.39436,2.9
30,592,227,6.648,434.967,11.127,25.9014,4.02966,4.75555,2.9
27.7,596,231,3.324,427.518,9.51,48.5997,6.34485,5.75353,2.9
14.2,805,75,-5.184,332.739,-1.379,20.3253,0.479025,0.104017,2.9
27.4,886,156,1.494,482.3,7.799,25.8561,3.15118,3.53237,2.9
28.5,594,229,1.88,431.298,11.41,110.689,7.37586,4.74579,3
29.6,603,238,2.689,413.454,10.739,69.8648,6.61015,3.26238,3
32.8,959,229,5.719,433.145,11.998,81.9958,8.29755,7.47734,3
27.4,1023,293,-2.462,276.572,3.826,14.1167,0.42669,1.85182,3
24.1,1048,318,-7.826,216.998,-0.43,17.3613,0.382816,0.612166,3
25.6,140,140,0.208,469.782,5.366,45.0657,1.1234,1.23057,3.1
29.1,275,275,-0.2,322.355,5.591,32.3982,1.84546,2.25746,3.1
24.1,512,147,1.723,476.598,6.19,38.5383,1.76225,2.27241,3.1
23.5,530,165,3.102,486.276,7.81,80.6773,3.42503,2.45358,3.1
27.9,625,260,-0.068,361.919,7.423,47.1457,3.38037,2.31385,3.1
25.7,653,288,-0.815,287.221,3.621,26.7967,0.627048,1.17855,3.1
26.5,137,137,-1.603,466.345,3.583,43.692,1.10326,0.919277,3.3
19.2,563,198,3.87,474.714,9.679,32.8088,5.30061,3.67363,3.3
26,655,290,-1.758,281.876,2.88,20.4357,0.476152,1.09781,3.3
19.4,823,93,-6.463,380.708,0.754,61.3559,0.746437,1.34875,3.3
30.4,910,180,3.023,485.955,10.431,130.235,7.88233,4.23216,3.4
19.4,564,199,3.946,473.787,9.741,72.9388,8.04328,4.00465,3.5
31.2,917,187,6.749,483.241,11.751,91.17,8.12247,6.39805,3.5
12.3,810,80,-2.833,346.51,-0.376,34.76,0.554873,0.975025,3.6
23.4,125,125,0.348,449.564,3.636,32.554,0.330977,0.647726,3.7
25.4,195,195,3.181,477.298,9.963,49.3931,5.80116,5.59215,3.7
25.3,201,201,1.221,471.832,9.978,79.4112,6.24891,4.22012,3.7
23.4,113,113,-5.062,428.123,1.153,59.8226,0.450333,0.599231,3.8
28.7,272,272,0.913,330.43,6.912,9.89572,1.51515,2.53752,3.8
22.4,323,323,-6.222,205.641,-0.513,9.9733,0.204136,1.50959,3.8
27.4,498,133,-0.677,461.286,3.994,36.9911,0.960114,1.50956,3.8
26.8,217,217,7.691,451.588,14.553,100.587,7.70944,8.22557,3.9
23.6,315,315,-12.005,221.1,-0.284,20.2299,0.396891,0.45115,3.9
15.3,817,87,-4.523,365.275,0.162,29.3961,0.520427,0.466703,3.9
22.8,583,218,8.828,450.059,16.463,133.695,9.04312,7.00278,4
32.7,1005,275,1.317,325.052,6.213,18.1641,1.1069,0.891362,4
23.8,116,116,0.24,433.902,3.92,37.8831,0.136515,0.828374,4.1
24.7,188,188,4.368,482.157,11.196,68.4627,5.73287,4.19552,4.1
25.3,236,236,9.125,417.602,14.105,55.9846,5.41451,5.90367,4.1
31.3,999,269,1.341,341.097,8.248,59.6743,3.56498,2.36526,4.1
