SWC,DAY,DOY,TA,SW,TS,LE,GPP,RECO,P0
6.6,36,36,-16.524,231.251,-6.66,12.4201,0.0576119,0.173803,0.1
7.3,66,66,-16.165,310.365,-4.946,33.8809,0.406635,0.263939,0.1
7.2,68,68,-15.512,315.977,-4.655,43.6797,0.509307,0.495836,0.1
12.7,90,90,-1.681,375.641,0.065,12.5234,0.099833,0.456266,0.1
25.6,100,100,-8.298,400.101,-0.158,47.7643,0.166407,0.549439,0.1
23.6,115,115,-1.714,432.006,3.643,60.6965,0.452857,0.9478,0.1
26,144,144,-2.317,473.884,5.071,77.2771,1.29404,1.37844,0.1
23.7,168,168,1.545,486.784,9.453,86.2651,4.21195,3.78774,0.1
23.3,174,174,5.745,486.854,12.206,115.711,5.39371,3.68166,0.1
25.8,198,198,2.402,474.714,10.641,134.801,7.38566,5.32964,0.1
25.1,203,203,2.246,469.748,9.712,71.6509,8.00302,4.45834,0.1
28.3,215,215,3.592,454.555,12.523,115.942,7.52936,6.91627,0.1
28.3,227,227,1.037,434.967,10.766,113.981,7.06968,4.21505,0.1
26.2,234,234,8.122,421.647,13.999,98.1189,6.82939,7.6476,0.1
29,247,247,-1.428,393.593,7.597,89.5838,5.28102,4.32263,0.1
26.6,252,252,-1.699,381.787,7.728,86.4438,4.75892,3.21901,0.1
26.1,253,253,-0.4,379.365,8.586,91.4971,4.36186,3.89883,0.1
24.9,255,255,0.623,374.466,9.12,79.147,4.31821,4.60596,0.1
30.5,263,263,0.029,354.206,8.117,80.6511,3.55465,3.66077,0.1
28.7,265,265,-0.726,348.996,7.403,67.474,2.85936,3.38465,0.1
23.5,316,316,-15.75,219.03,-0.372,14.2995,0.524743,0.416446,0.1
10.9,332,332,-15.84,191.607,-4.044,11.5434,0.478736,1.12629,0.1
9.7,333,333,-16.866,190.291,-5.04,9.43923,0.481676,1.15312,0.1
7.3,355,355,-17.223,175.187,-6.665,4.90513,0.237641,0.557932,0.1
7,364,364,-20.121,177.094,-7.224,10.0883,0.519579,0.496064,0.1
6.7,369,4,-19.815,180.208,-7.909,6.37635,0.44196,0.260751,0.1
6.7,376,11,-17.479,186.965,-8.349,8.0323,0.323264,0.275622,0.1
6.3,389,24,-23.626,206.432,-9.596,7.64802,0.398287,0.209787,0.1
6.5,396,31,-15.796,220.213,-7.519,6.53453,0.376089,0.293447,0.1
6.2,403,38,-26.43,235.911,-10.12,8.9144,0.498005,0.185808,0.1
6.2,404,39,-24.246,238.29,-9.797,9.37676,0.5567,0.217579,0.1
6.8,430,65,-14.761,307.559,-6.974,24.1107,0.670854,1.23937,0.1
7.1,433,68,-10.869,315.977,-4.566,17.3431,0.643038,0.616861,0.1
31.5,479,114,0.199,430.079,4.824,58.8075,0.750205,1.27155,0.1
24,516,151,0.429,479.728,6.916,55.1923,2.98123,1.85832,0.1
23.8,533,168,-0.402,486.784,8.071,139.035,4.85715,2.68411,0.1
22.9,550,185,3.475,483.732,10.452,103.032,6.81602,6.28906,0.1
20.5,556,191,1.899,480.277,9.722,163.356,8.53458,4.17339,0.1
26.5,579,214,5.216,455.994,13.619,128.101,9.07677,5.29993,0.1
25.5,580,215,6.44,454.555,14.194,129.67,9.13359,5.70856,0.1
29,585,220,7.958,446.91,13.499,80.4611,8.72567,5.46086,0.1
28,586,221,6.348,445.291,14.169,144.583,8.97916,5.34252,0.1
27.9,606,241,2.329,407.045,11.608,113.13,7.78392,5.30279,0.1
28.6,618,253,-0.226,379.365,8.401,72.8541,4.90346,2.27807,0.1
30,622,257,-2.735,369.498,4.392,87.6314,4.45788,1.10214,0.1
29.7,630,265,-1.762,348.996,6.137,56.5738,2.87707,1.59627,0.1
28.7,637,272,-2.193,330.43,6.658,46.0383,2.13241,2.25055,0.1
25.9,651,286,-5.186,292.595,3.078,22.7449,0.976978,1.39099,0.1
25.9,654,289,-0.582,284.544,3.334,13.8364,0.414895,1.0902,0.1
22.6,683,318,-13.085,215.004,-1.474,10.4073,0.312706,0.618487,0.1
7,732,2,-19.555,178.166,-6.466,11.5453,0.397516,0.300751,0.1
13.3,808,78,-7.136,341.031,-0.81,24.3265,0.641312,0.685906,0.1
21,819,89,-3.283,370.495,0.845,31.8485,0.487858,0.631162,0.1
33.6,835,105,-4.789,409.214,0.692,51.3925,0.744683,1.37731,0.1
33.8,853,123,-0.167,444.628,4.517,59.4094,1.09506,2.92104,0.1
33.1,855,125,-1.668,447.951,4.049,47.5606,1.21162,2.39165,0.1
29.4,862,132,-1.415,458.555,5.221,64.7406,1.82581,2.04165,0.1
30.4,872,142,-2.227,470.859,4.865,61.6395,1.72084,2.1621,0.1
32.1,875,145,-2.155,473.884,4.375,62.3631,2.35659,1.02065,0.1
27.7,885,155,2.596,481.71,8.758,81.0496,3.70955,3.63153,0.1
27,896,166,3.794,486.276,9.49,74.8002,5.12051,3.54796,0.1
26.9,898,168,2.99,486.65,8.711,94.881,6.50045,4.44968,0.1
32.2,922,192,2.295,480.277,10.337,123.005,8.96518,5.04332,0.1
25.8,928,198,4.405,475.609,14.188,150.635,9.36606,5.21375,0.1
26.1,933,203,0.718,470.806,10.105,143.661,8.9297,4.30471,0.1
26,934,204,5.501,469.748,11.854,81.6647,9.28075,4.99957,0.1
31,939,209,9.102,463.97,14.147,101.288,9.46242,10.109,0.1
30.7,966,236,2.462,419.637,11.716,127.475,7.17736,5.92957,0.1
29.4,997,267,2.57,346.374,8.335,75.3361,3.54214,2.75372,0.1
31.3,1008,278,-2.287,316.95,6.227,36.8307,1.51475,1.87314,0.1
29.5,1012,282,-4.841,306.113,3.964,34.1282,1.59959,1.70255,0.1
29.2,1013,283,-3.823,303.404,4.621,37.0092,1.35677,1.75911,0.1
28.2,1017,287,-3.22,292.595,3.88,30.8168,1.0389,1.43382,0.1
24.2,1049,319,-7.203,215.004,-0.528,13.0927,0.409276,0.627412,0.1
24.4,1051,321,-10.016,211.135,-0.689,13.6982,0.410809,0.549957,0.1
7.5,58,58,-11.989,288.012,-3.755,13.2726,0.237391,0.270577,0.2
7.9,73,73,-8.154,329.958,-1.857,24.8558,0.34901,0.483038,0.2
25.5,141,141,-3.82,470.859,4.368,65.447,1.07537,1.18562,0.2
24.9,187,187,3.049,482.717,10.56,135.753,6.45813,5.05643,0.2
24.6,189,189,1.346,481.565,10.458,122.424,6.10797,3.77528,0.2
29.7,223,223,4.093,441.965,10.436,48.7682,6.78015,4.35398,0.2
26.9,229,229,1.509,431.298,11.076,86.5278,6.579,3.19254,0.2
25.8,235,235,9.421,419.637,14.865,85.257,6.34772,7.43341,0.2
26.5,283,283,0.574,300.697,5.619,18.4642,0.999148,1.44104,0.2
6.7,379,14,-11.977,190.687,-6.62,8.57714,0.346452,0.327525,0.2
6.4,398,33,-21.345,224.518,-8.646,8.2958,0.316469,0.20803,0.2
6.2,405,40,-20.872,240.699,-8.858,9.98761,0.504586,0.267725,0.2
7.2,426,61,-16.325,296.358,-4.6,15.1269,0.568619,0.574161,0.2
24.1,514,149,-0.698,478.233,5.675,60.4055,2.6453,2.32912,0.2
27.3,588,223,8.244,441.965,10.901,18.7949,2.48513,5.00135,0.2
7.6,724,359,-19.315,175.444,-4.572,10.6753,0.471473,0.20394,0.2
